VehicleID,Location,Maker,Model,Year,Colour,Type,Distance,Amount
VHL17026,Lagos,Toyota,Sequoia,2009,Black,Nigerian Used,140000,5.9
VHL19933,Abuja,Toyota,Camry,2014,Gray,Nigerian Used,128885,4.0
VHL17277,Ibadan,Toyota,RAV4 Limited V6 4x4,2007,Green,Foreign Used,96000,4.0
VHL13475,Ibadan,Toyota,Camry,2003,Silver,Foreign Used,130000,2.4
VHL11275,Lagos,Mercedes-Benz,GL-Class,2014,White,Foreign Used,118285,17.0
VHL10174,Abuja,BMW,X5 4.4i,2006,Gray,Foreign Used,,3.0
VHL17838,Abuja,Toyota,Highlander,2005,Black,Nigerian Used,124540,3.2
VHL16443,Abuja,Toyota,Camry,2009,Gray,Nigerian Used,88800,2.66
VHL14714,Abuja,Toyota,Hilux,2021,White,Brand New,100,23.0
VHL16117,Abuja,Toyota,Land Cruiser 5.7 V8 VX-S,2019,Black,Foreign Used,52000,115.0
VHL13689,Abuja,Honda,Accord,2016,Gray,Foreign Used,,7.8
VHL16862,Abuja,Volvo,XC90,2005,Gray,Foreign Used,180003,3.3
VHL11856,Ibadan,Lexus,ES 350,2010,White,Foreign Used,,5.5
VHL17501,Abuja,Toyota,Corolla,2013,Red,Nigerian Used,50000,3.85
VHL18676,Abuja,Toyota,Corolla LE,2007,Silver,Nigerian Used,,2.3
VHL18868,Abuja,Mercedes-Benz,C350,2008,Silver,Nigerian Used,120213,3.5
VHL17663,Abuja,Lexus,LX 570 AWD,2017,White,Foreign Used,32000,58.9
VHL13818,Lagos,Lexus,RX 350 FWD,2019,White,Foreign Used,4000,22.0
VHL14263,Abuja,Mercedes-Benz,C320,2004,Silver,Foreign Used,,2.8
VHL18551,Lagos,Lexus,ES 350,2011,Silver,Foreign Used,,6.5
VHL16010,Lagos,Toyota,RAV4 XLE AWD (2.5L 4cyl 6A),2013,Gray,Foreign Used,,8.25
VHL14482,Lagos,Mercedes-Benz,M Class,2010,Gold,Foreign Used,,6.8
VHL10028,Lagos,Nissan,Maxima,2010,Violet,,139938,2.08
VHL14986,Lagos,Ford,Escape,2005,Silver,Nigerian Used,163801,1.46
VHL14109,Lagos,Toyota,Camry,2008,Silver,Foreign Used,217082,3.6
VHL15087,Abuja,Toyota,Highlander Limited,2010,White,Foreign Used,65349,6.85
VHL15528,Lagos,Toyota,Camry,2009,Gray,Foreign Used,86524,3.75
VHL16856,Abuja,Mercedes-Benz,M Class ML 350 4Matic,2013,Black,Foreign Used,,10.0
VHL15968,Abuja,Lexus,ES 350,2010,Black,Nigerian Used,75214,6.5
VHL11013,Abuja,Lexus,RX 330,2004,Blue,Nigerian Used,65242,4.5
VHL19319,Lagos,Nissan,Murano,2003,Brown,Nigerian Used,,2.81
VHL19543,Abuja,Lexus,IS,2008,Silver,Foreign Used,,4.5
VHL16868,Abuja,Toyota,Sienna LE FWD (3.3L V6 5A),2004,Gold,Foreign Used,121300,1.8
VHL18067,Abuja,Lexus,LX 570 (5 Seats) AWD,2018,Black,Foreign Used,20000,67.5
VHL14240,Lagos,Lexus,ES 350,2009,Gold,Foreign Used,36521,4.5
VHL12140,Abuja,Toyota,Highlander,2003,Gray,Nigerian Used,,2.2
VHL13856,Ibadan,Toyota,Camry,2007,Gray,Foreign Used,,3.3
VHL10705,Abuja,Honda,Accord,2013,Red,Nigerian Used,,4.2
VHL19331,Ibadan,Toyota,Camry,2010,Gold,Foreign Used,,4.0
VHL18983,Abuja,Mercedes-Benz,C230,2005,Gold,Foreign Used,100000,2.5
VHL17578,Abuja,Toyota,4-Runner,2000,Gray,Nigerian Used,,1.5
VHL10631,Abuja,Hyundai,Elantra,2007,Gray,Nigerian Used,195106,1.69
VHL14589,Lagos,Mercedes-Benz,GLK-Class,2010,Silver,,156155,6.73
VHL18076,Lagos,Lexus,RX 350,2011,Gray,Foreign Used,121131,9.5
VHL17000,Lagos,Lexus,GX 470,2007,Black,Foreign Used,87451,5.5
VHL18763,Lagos,Lexus,ES 350,2008,Red,Foreign Used,129630,4.5
VHL19770,Lagos,Lexus,RX 350 AWD,2008,Gray,Foreign Used,78669,5.78
VHL11818,Lagos,Lexus,ES 350 FWD,2013,Silver,Foreign Used,58869,9.7
VHL14219,Abuja,Ford,Edge,2008,Silver,Foreign Used,87322,3.8
VHL14329,Lagos,Ford,Explorer,2012,Black,Foreign Used,232070,8.44
VHL16439,Lagos,Acura,MDX SUV 4dr AWD (3.7 6cyl 5A),2009,Blue,Foreign Used,56655,7.5
VHL14035,Lagos,Toyota,4-Runner Limited V6,2005,Silver,Foreign Used,895236,4.45
VHL16458,Lagos,Toyota,4-Runner Limited 4x4,2019,Black,Foreign Used,5000,29.0
VHL10503,Lagos,Dodge,RAM,2014,Black,Nigerian Used,69000,11.25
VHL18144,Ibadan,Toyota,Corolla,2010,Gray,Nigerian Used,86000,2.05
VHL10177,Lagos,Lexus,RX 450hL Luxury AWD,2018,Gold,Foreign Used,5626,21.5
VHL13332,Lagos,Honda,Pilot,2007,Black,,303353,3.59
VHL16701,Lagos,Lexus,RX 350 4x4,2007,Brown,Foreign Used,,5.4
VHL19438,Abuja,Toyota,Highlander,2013,White,Nigerian Used,129939,10.69
VHL11941,Abuja,Mercedes-Benz,C300,2016,Brown,Foreign Used,,11.9
VHL14612,Lagos,Lexus,RX 350 FWD,2012,Blue,Foreign Used,65828,7.4
VHL12469,Lagos,Toyota,Highlander Limited 3.5l 4WD,2013,White,Foreign Used,100000,8.68
VHL10452,Lagos,Toyota,Camry,2009,Silver,Foreign Used,75324,3.2
VHL12936,Lagos,Toyota,Avalon,2013,Red,Foreign Used,95124,8.5
VHL11661,Ibadan,Toyota,Camry,2002,Silver,Nigerian Used,79321,1.2
VHL10149,Abuja,Lexus,GX,2004,Black,Nigerian Used,226360,7.31
VHL15813,Lagos,Toyota,4-Runner Sport Edition,2004,Gray,Foreign Used,,3.95
VHL15408,Lagos,Toyota,Highlander 4x4,2008,Green,Foreign Used,69769,6.0
VHL11049,Lagos,Lexus,RX 350,2011,Blue,Foreign Used,30457,10.8
VHL16564,Abuja,Lexus,LS,2008,White,Nigerian Used,120606,3.5
VHL11970,Lagos,Lexus,LX,2018,Black,Brand New,,52.0
VHL10052,Ibadan,Honda,CR-V,2004,Red,Foreign Used,397157,2.48
VHL16557,Abuja,Toyota,Tacoma,2017,Black,Foreign Used,,16.55
VHL16705,Abuja,Mercedes-Benz,S-Class,2016,Black,Foreign Used,47000,45.0
VHL11003,Abuja,Toyota,Corolla S,2007,Black,Nigerian Used,,2.4
VHL14586,Lagos,Toyota,RAV4 4x4,2007,Black,Foreign Used,,3.9
VHL18235,Lagos,Lexus,ES 350,2008,Gray,Foreign Used,176353,4.1
VHL10039,Abuja,Mercedes-Benz,G-Class G 63 AMG,2021,White,Brand New,,195.0
VHL15836,Abuja,Toyota,Land Cruiser Prado 3 172hp,2018,Black,Foreign Used,,27.0
VHL13623,Abuja,Toyota,RAV4 Limited FWD,2020,Green,Brand New,854,27.0
VHL10739,Abuja,Toyota,Camry,2011,Blue,Foreign Used,,4.35
VHL19970,Ibadan,Toyota,Corolla,2005,Silver,Nigerian Used,160932,1.69
VHL17873,Abuja,Land Rover,Range Rover,2009,Green,Nigerian Used,,3.5
VHL10265,Ibadan,Lexus,RX 350 XE 4x4,2008,Silver,Foreign Used,135000,5.6
VHL10303,Ibadan,Toyota,Camry,2008,Black,Foreign Used,198000,3.55
VHL18303,Abuja,Lincoln,Navigator,2013,Silver,Foreign Used,56000,9.9
VHL11104,Ibadan,Toyota,Corolla S,2007,Silver,Foreign Used,130000,3.15
VHL14261,Lagos,Lexus,RX 350,2011,Silver,Foreign Used,65000,8.7
VHL10593,Lagos,Toyota,Camry 2.4 XLE,2008,Red,Foreign Used,91738,3.4
VHL12840,Lagos,Acura,MDX SUV 4dr AWD (3.7 6cyl 5A),2008,White,Foreign Used,75000,3.95
VHL12641,Lagos,Toyota,Venza V6 AWD,2010,White,Foreign Used,,7.9
VHL18707,Lagos,Mercedes-Benz,GL-Class GL 450,2010,Black,Foreign Used,,8.0
VHL12011,Lagos,Lexus,RX,2003,Silver,Foreign Used,65000,3.5
VHL13228,Lagos,Lexus,CT Base FWD,2016,Gray,Foreign Used,700010,10.2
VHL14055,Lagos,Toyota,Camry,2009,Gray,Foreign Used,75840,3.9
VHL12831,Lagos,Lexus,RX 350,2011,Silver,Foreign Used,65802,10.5
VHL14612,Lagos,Lexus,ES 350,2012,White,Foreign Used,,6.5
VHL17233,Lagos,Toyota,Corolla,2011,Silver,Foreign Used,65470,4.39
VHL15288,Ibadan,Toyota,Corolla S,2007,Blue,Nigerian Used,189632,1.9
VHL17021,Abuja,Peugeot,504,2004,Yellow,Nigerian Used,,1.4
VHL17461,Lagos,Toyota,Venza XLE AWD,2013,Gray,Foreign Used,88123,9.5
VHL16274,Lagos,Acura,MDX,2012,Black,Foreign Used,,6.0
VHL18265,Lagos,Toyota,Venza XLE AWD,2013,White,Foreign Used,75365,12.0
VHL17648,Abuja,Honda,CR-V EX-L AWD,2020,Gray,Foreign Used,,13.9
VHL11061,Ibadan,Toyota,Camry,2012,White,Foreign Used,98000,4.7
VHL16651,Ibadan,Lexus,RX 350,2010,Gray,Foreign Used,,9.1
VHL15100,Lagos,Toyota,Highlander Limited,2009,Green,Foreign Used,80000,7.65
VHL16186,Lagos,Honda,Accord Sedan EX-L V-6,2010,Black,Nigerian Used,149189,2.25
VHL12137,Lagos,Toyota,Camry,2013,White,Foreign Used,62745,6.2
VHL17555,Abuja,Mercedes-Benz,S-Class S 63 AMG (W222),2016,Black,Foreign Used,43000,40.0
VHL16565,Lagos,Mercedes-Benz,GL-Class GL 450,2007,Black,Foreign Used,,4.5
VHL16759,Abuja,Toyota,Corolla,2004,White,Nigerian Used,,2.3
VHL16546,Abuja,Peugeot,206,2005,Blue,Nigerian Used,,1.63
VHL15709,Lagos,Lexus,GX 460 Luxury,2018,White,Foreign Used,30121,27.0
VHL16681,Abuja,Toyota,Highlander,2015,Black,Foreign Used,,12.5
VHL11428,Lagos,Toyota,Camry 2.4 LE,2008,Silver,Foreign Used,94580,3.2
VHL19213,Abuja,Toyota,Corolla LE,2005,Black,Nigerian Used,,2.0
VHL12512,Lagos,Lexus,RX 350,2010,Black,Foreign Used,95486,10.69
VHL13436,Abuja,Toyota,Corolla,2016,Gray,Foreign Used,35000,6.7
VHL13302,Abuja,Toyota,Camry,2008,Silver,Nigerian Used,128881,2.2
VHL16176,Abuja,Toyota,Camry,2010,Black,Nigerian Used,121362,2.4
VHL18255,Lagos,Toyota,Camry,2009,Gray,Foreign Used,,3.4
VHL15785,Abuja,Honda,Odyssey LX,2009,Gray,Foreign Used,136130,3.38
VHL11660,Ibadan,Ford,Explorer,2013,Blue,Nigerian Used,88734,9.56
VHL17057,Lagos,Hyundai,Sonata,2009,Black,,164003,1.8
VHL15049,Abuja,Lexus,LX 570 (5 Seats) AWD,2021,Black,Brand New,,87.5
VHL18354,Lagos,Lexus,ES,2015,Black,Foreign Used,,9.8
VHL19590,Lagos,Mercedes-Benz,E350,2008,Silver,Foreign Used,,4.25
VHL13074,Abuja,Toyota,Highlander Sport,2009,Gold,Nigerian Used,68000,5.3
VHL13025,Lagos,Lexus,ES 350,2008,Red,Foreign Used,76345,5.25
VHL16519,Abuja,BMW,X3 2.5si Exclusive Automatic,2008,Gold,Foreign Used,,5.5
VHL12186,Abuja,Toyota,Avanza,2011,Gray,Foreign Used,68000,6.7
VHL12552,Lagos,Toyota,Tundra,2016,White,Foreign Used,23000,23.0
VHL12862,Abuja,Hyundai,I10,2015,Gray,Nigerian Used,,2.7
VHL15865,Lagos,Lexus,IS 250,2008,Blue,Nigerian Used,112068,2.81
VHL16063,Lagos,Lexus,GX 460 Luxury,2020,White,Foreign Used,6000,35.5
VHL18555,Lagos,Lexus,LX,2019,Gray,Foreign Used,,58.0
VHL17779,Lagos,Mercedes-Benz,E300,2021,Black,Brand New,42,66.5
VHL13731,Abuja,Mercedes-Benz,E350,2013,Gray,Foreign Used,45264,12.5
VHL11472,Lagos,Lexus,RX,2012,Gold,Foreign Used,64000,10.8
VHL18853,Abuja,Toyota,Camry,2015,Black,,86280,5.16
VHL19238,Abuja,Lexus,GX 470 Sport Utility,2005,Silver,Foreign Used,99000,6.0
VHL11652,Lagos,Toyota,Sequoia,2004,Green,Foreign Used,96523,3.58
VHL11579,Lagos,Toyota,Yaris,2014,Black,Nigerian Used,308916,4.5
VHL12031,Lagos,Lexus,RX,2002,Black,Foreign Used,,3.3
VHL11395,Abuja,Lexus,ES 350,2008,Gray,Nigerian Used,52588,3.5
VHL12835,Abuja,Toyota,Camry 2.4 XLE,2008,Silver,Nigerian Used,,2.2
VHL13867,Lagos,Ford,Edge,2011,Black,Nigerian Used,182031,2.59
VHL15464,Abuja,Lexus,NX,2017,White,Foreign Used,41576,17.0
VHL18310,Lagos,Toyota,Camry SE FWD (2.5L 4cyl 8AM),2018,Silver,Foreign Used,35688,14.5
VHL16730,Abuja,Mercedes-Benz,CLA-Class,2015,Silver,Nigerian Used,68000,7.5
VHL10108,Abuja,Toyota,Land Cruiser Prado,2014,Black,Nigerian Used,95945,16.31
VHL12049,Abuja,Toyota,Avalon,2019,Black,Brand New,25,32.0
VHL18796,Lagos,Chevrolet,Uplander,2008,Gray,,75538,1.15
VHL10671,Abuja,Toyota,RAV4,2015,Black,Foreign Used,63738,9.5
VHL11035,Lagos,Toyota,Camry,2007,Green,Foreign Used,114034,3.8
VHL12266,Abuja,Toyota,Camry,2014,White,Foreign Used,,5.1
VHL19255,Abuja,Toyota,Camry,2013,Silver,Foreign Used,156764,5.5
VHL14315,Abuja,Toyota,Avalon Touring,2007,Silver,Foreign Used,100000,3.2
VHL14881,Lagos,Lexus,ES 350,2007,Black,Nigerian Used,65555,3.25
VHL11686,Lagos,Lexus,ES 350,2008,Gray,Foreign Used,88000,4.45
VHL12091,Abuja,Toyota,Camry,2018,Gray,Foreign Used,61796,13.2
VHL18301,Abuja,Toyota,Camry,2008,Silver,Nigerian Used,,2.3
VHL14695,Abuja,Honda,Civic LX Coupe Automatic,2012,Black,Foreign Used,45212,3.4
VHL12140,Lagos,Lexus,RX 350 AWD,2013,Gray,Foreign Used,75000,11.8
VHL13818,Lagos,Lexus,ES 350,2010,Black,Foreign Used,,6.25
VHL15349,Lagos,Toyota,Camry,2012,Red,Foreign Used,,5.8
VHL15150,Lagos,Toyota,Tundra Double Cab 4x4 Limited,2011,Black,Foreign Used,98000,10.0
VHL19874,Lagos,Lexus,GS 300 Automatic Off,2006,White,Foreign Used,210836,3.15
VHL14193,Lagos,Toyota,Highlander Sport,2006,Silver,Foreign Used,,4.3
VHL18401,Ibadan,Toyota,Avensis 2 D-4d Executive,2005,Gold,Foreign Used,167700,2.85
VHL16410,Lagos,Lexus,RX 350,2008,Blue,Foreign Used,140444,5.5
VHL18387,Lagos,Honda,Accord Crosstour EX,2012,Brown,Nigerian Used,39002,3.94
VHL13649,Lagos,Mercedes-Benz,M Class ML 350 4Matic,2012,Gray,Foreign Used,,11.8
VHL14318,Abuja,Toyota,Hilux,2020,White,Foreign Used,13175,25.0
VHL13466,Lagos,Lexus,RX,2013,White,Foreign Used,,9.0
VHL14294,Lagos,Mercedes-Benz,M Class ML 350 4Matic,2007,Gold,Foreign Used,98565,4.9
VHL15954,Lagos,Toyota,Venza AWD,2010,Blue,Foreign Used,,7.5
VHL13901,Abuja,Toyota,Fortuner,2020,White,Brand New,1000,28.0
VHL13970,Lagos,Toyota,Tundra,2016,Orange,Foreign Used,,25.5
VHL12616,Ibadan,Ford,Edge,2010,Gray,Nigerian Used,,3.2
VHL14024,Ibadan,Mercedes-Benz,C300,2015,Black,Foreign Used,113731,13.5
VHL17725,Lagos,Kia,Cerato,2013,Black,Nigerian Used,201728,1.69
VHL16975,Abuja,Audi,S5,2019,Black,Foreign Used,23142,43.0
VHL16683,Lagos,Toyota,4-Runner SR5 2WD,2010,Black,Foreign Used,87159,12.0
VHL13216,Abuja,Toyota,Corolla,2010,Green,Nigerian Used,,2.75
VHL14029,Lagos,Lexus,GX 470 Sport Utility,2005,Gray,Foreign Used,86495,6.45
VHL11521,Lagos,Lexus,RX 350 2WD,2020,Gray,Foreign Used,,32.0
VHL13696,Abuja,Ford,Explorer 4 Sport Track Automatic,2002,Gray,Nigerian Used,392793,1.01
VHL15090,Abuja,Toyota,Camry XLE V6 FWD,2020,Black,Brand New,2000,19.8
VHL17578,Lagos,Lexus,IS,2006,Gold,Foreign Used,,3.8
VHL15896,Abuja,Toyota,Camry,2013,Black,Foreign Used,,4.7
VHL18247,Ibadan,Toyota,Corolla,2008,Silver,Nigerian Used,91701,2.03
VHL11533,Abuja,Honda,CR-V,2013,Blue,Foreign Used,51000,7.5
VHL12482,Lagos,Mercedes-Benz,GL-Class GL 450,2009,Black,Foreign Used,130000,7.0
VHL17083,Abuja,Mercedes-Benz,C400,2015,Black,Nigerian Used,67123,15.5
VHL19587,Lagos,Lexus,IS 250 AWD Automatic,2012,Silver,Foreign Used,63000,5.65
VHL16386,Ibadan,Lexus,ES 350,2011,Gray,Foreign Used,78000,6.3
VHL15662,Abuja,Kia,Forte EX,2010,Black,Foreign Used,40675,3.0
VHL14430,Lagos,Honda,Accord,2009,Black,Nigerian Used,148264,2.25
VHL15170,Abuja,Jaguar,F-Type 400 Sport AWD Convertible,2018,Black,Foreign Used,,25.0
VHL16853,Abuja,Toyota,Sienna,2006,Gray,,163287,3.82
VHL17469,Lagos,Acura,MDX,2011,White,Foreign Used,55396,6.3
VHL11404,Lagos,Lexus,ES 350,2008,Red,Foreign Used,87000,4.7
VHL17243,Lagos,Mercedes-Benz,GLE43,2018,Black,Foreign Used,,44.0
VHL10911,Abuja,Toyota,Corolla,2013,Red,Nigerian Used,69000,2.7
VHL11542,Lagos,Toyota,Highlander Limited V6,2005,Blue,Foreign Used,52814,4.65
VHL17683,Ibadan,Nissan,Pathfinder LE 4x4,2006,Black,Foreign Used,,2.9
VHL12829,Abuja,BMW,X3,2013,Red,Nigerian Used,114427,5.4
VHL15404,Lagos,Lexus,ES,2007,Black,Foreign Used,23568,3.35
VHL11766,Abuja,Toyota,Tacoma,2017,Silver,Foreign Used,40000,24.0
VHL12304,Lagos,Lexus,GX 470 Sport Utility,2007,Silver,Foreign Used,82000,6.6
VHL14397,Abuja,Toyota,Highlander,2016,Brown,Foreign Used,83151,14.0
VHL12352,Lagos,Acura,RDX Off,2017,White,Foreign Used,60000,14.0
VHL11722,Lagos,Lexus,ES 350,2010,Gray,Foreign Used,75000,5.8
VHL19794,Lagos,Toyota,Camry,2011,Black,Foreign Used,87500,5.4
VHL17800,Abuja,Mercedes-Benz,E350,2010,Black,Nigerian Used,,5.5
VHL19531,Lagos,Lexus,GX 470 Sport Utility,2007,Silver,Foreign Used,63852,6.8
VHL12301,Ibadan,Toyota,Avensis Wagon,2005,Green,Foreign Used,112000,2.1
VHL16456,Lagos,Lexus,RX 330 AWD,2006,White,Foreign Used,,4.95
VHL12577,Abuja,Toyota,Camry,2010,Silver,Foreign Used,,4.3
VHL13828,Abuja,BMW,X7 xDrive50i,2019,Black,Foreign Used,2540,120.0
VHL10260,Lagos,Lexus,RX 350,2010,Gray,Foreign Used,93368,8.8
VHL14533,Lagos,Ford,Edge SE 4dr FWD (3.5L 6cyl 6A),2007,Black,Foreign Used,467397,3.04
VHL13425,Ibadan,Nissan,Pathfinder,2002,Black,Nigerian Used,338106,1.01
VHL12679,Abuja,Toyota,Venza V6 AWD,2010,Gray,Nigerian Used,123769,5.9
VHL15823,Abuja,Mercedes-Benz,E300,2017,Black,Nigerian Used,,16.5
VHL17091,Abuja,Toyota,Land Cruiser 5.7 V8 VXR,2020,Black,Brand New,,49.5
VHL14122,Lagos,Toyota,Highlander V6 4x4,2005,White,Foreign Used,,3.8
VHL15686,Abuja,Toyota,Corolla,2009,Green,Foreign Used,84645,3.85
VHL16647,Lagos,Toyota,Camry,2019,Red,,6575,9.75
VHL16549,Ibadan,Kia,Optima,2014,Silver,Foreign Used,,3.7
VHL15426,Lagos,Kia,Rio,2013,Silver,Nigerian Used,81106,1.65
VHL13009,Lagos,Lexus,GX,2008,Gold,Foreign Used,,8.65
VHL14071,Lagos,Toyota,Camry,2005,Green,Foreign Used,303093,2.81
VHL13997,Abuja,Toyota,RAV4 Limited,2008,White,Nigerian Used,,2.5
VHL14907,Lagos,Mercedes-Benz,C250,2014,Black,Foreign Used,,8.0
VHL12713,Abuja,Toyota,Camry,2011,Red,Foreign Used,90000,3.95
VHL14456,Ibadan,Toyota,Corolla 1.6 VVT-i,2006,Blue,Nigerian Used,147635,1.13
VHL18180,Abuja,Ford,Escape,2009,Black,Nigerian Used,65000,2.3
VHL15174,Abuja,Hyundai,I10 1.2,2012,Black,Nigerian Used,130521,1.6
VHL14860,Abuja,Infiniti,JX,2013,Red,Nigerian Used,75000,4.5
VHL13679,Lagos,Lexus,GX 460 Luxury,2016,White,Foreign Used,65000,27.0
VHL16276,Abuja,Mercedes-Benz,E55,2021,Black,Brand New,,76.5
VHL18957,Lagos,Mercedes-Benz,GLK-Class 350 4MATIC,2013,Gray,Foreign Used,62408,11.5
VHL12421,Lagos,Lexus,RX 350,2010,Gray,Foreign Used,74690,9.5
VHL10914,Abuja,Honda,Accord,2008,White,Foreign Used,,4.2
VHL10022,Ibadan,Toyota,Highlander Sport,2008,Gray,Foreign Used,85000,5.7
VHL12920,Ibadan,Toyota,Corolla,2011,Silver,Foreign Used,79000,4.3
VHL14453,Abuja,Porsche,Cayenne,2013,Black,Foreign Used,91651,20.0
VHL17415,Ibadan,Toyota,Camry,2008,Black,Nigerian Used,786123,2.4
VHL12847,Abuja,Toyota,Highlander V6,2005,Red,Nigerian Used,,2.3
VHL11597,Abuja,Mercedes-Benz,GLK-Class,2012,Blue,Nigerian Used,42153,7.7
VHL15948,Lagos,Lexus,RX 330,2005,Blue,Foreign Used,125808,5.2
VHL10894,Abuja,Mercedes-Benz,GLS-Class GLS450 4MATIC,2019,White,Foreign Used,18452,48.0
VHL13162,Abuja,Toyota,Camry XSE FWD (2.5L 4cyl 8AM),2018,White,Foreign Used,56000,17.5
VHL16114,Lagos,Mercedes-Benz,X Class,2020,Black,Foreign Used,5423,74.0
VHL18300,Lagos,Lexus,IS 250,2008,Black,Foreign Used,87000,4.1
VHL12111,Abuja,Toyota,Corolla,2015,Silver,Nigerian Used,67733,4.3
VHL12736,Lagos,Lexus,ES 350,2008,Gold,Foreign Used,,4.8
VHL12667,Lagos,Lexus,RX 350,2010,Gray,Foreign Used,99675,8.85
VHL10260,Abuja,Lexus,IS,2006,Pink,,113231,2.08
VHL18780,Lagos,Mercedes-Benz,M Class ML 350 4Matic,2012,Gray,Foreign Used,153000,12.0
VHL12893,Abuja,Toyota,Camry,2002,Brown,Foreign Used,136214,2.8
VHL14621,Abuja,Hyundai,Sonata,2013,Gray,Nigerian Used,101000,2.95
VHL14734,Lagos,Toyota,Camry,2007,White,Foreign Used,84508,3.8
VHL17217,Lagos,Mercedes-Benz,GLK-Class 350 4MATIC,2010,Green,Foreign Used,86038,7.3
VHL16843,Lagos,Toyota,Sequoia,2010,Gray,Foreign Used,68529,10.7
VHL18335,Abuja,Peugeot,3008,2020,Gray,Foreign Used,38454,21.0
VHL12489,Abuja,Mercedes-Benz,C400,2015,White,Nigerian Used,,14.0
VHL17148,Lagos,Lexus,IS 250,2010,White,Foreign Used,79000,4.6
VHL14536,Abuja,Toyota,Camry,2010,Gray,Foreign Used,87071,3.5
VHL14528,Lagos,Lexus,LX 570 (5 seats) AWD,2016,Black,Foreign Used,,53.0
VHL12713,Abuja,Ford,Ranger,2017,Black,Foreign Used,41358,10.0
VHL17414,Lagos,Lexus,ES 350 FWD,2013,Black,Foreign Used,98523,8.65
VHL13483,Abuja,Toyota,Camry,2016,Silver,Foreign Used,65923,6.5
VHL16011,Abuja,Mercedes-Benz,M Class ML 350 4Matic,2008,Black,Nigerian Used,,3.6
VHL17669,Lagos,Fiat,Fullback,2004,Black,,319568,1.62
VHL12360,Lagos,Toyota,Highlander,2018,Silver,Foreign Used,,20.5
VHL13646,Abuja,Mercedes-Benz,E550,2010,Black,Foreign Used,,10.0
VHL19724,Abuja,Land Rover,Range Rover,2012,White,Nigerian Used,,10.0
VHL10728,Lagos,Toyota,Highlander,2015,White,Foreign Used,81000,14.5
VHL15190,Abuja,Mercedes-Benz,GLA-Class,2016,Black,Nigerian Used,55000,10.0
VHL17223,Abuja,Toyota,Camry SE FWD (2.5L 4cyl 8AM),2018,Silver,Foreign Used,27627,12.5
VHL18067,Lagos,Lexus,RX,2019,White,Foreign Used,,23.5
VHL19500,Ibadan,Toyota,Corolla,2011,Gray,Foreign Used,128365,4.2
VHL15634,Lagos,Lexus,RX 350 F Sport AWD,2016,Black,Foreign Used,,22.5
VHL14554,Abuja,Lexus,IS 250 4WD,2015,Silver,Foreign Used,52609,10.5
