index,Location,Maker,Model,Year,Colour,Distance,Amount,Use_type_Brand New,Use_type_Foreign Used,Use_type_Nigerian Used
35,0,3,1360,2006.0,9,146108.96941896025,1.3862943611198906,0,1,0
36,0,53,657,2005.0,2,124540.0,1.4350845252893227,0,0,1
37,0,53,316,2009.0,9,88800.0,1.297463147413275,0,0,1
38,0,53,696,2021.0,22,100.0,3.1780538303479458,1,0,0
39,0,53,797,2019.0,2,52000.0,4.7535901911063645,0,1,0
40,0,17,120,2016.0,9,59739.19502074689,2.174751721484161,0,1,0
41,0,55,1371,2005.0,9,180003.0,1.4586150226995167,0,1,0
42,1,29,480,2010.0,22,111522.88737864078,1.8718021769015913,0,1,0
43,0,53,406,2013.0,17,50000.0,1.5789787049493917,0,0,1
44,0,53,427,2007.0,18,139643.87962962964,1.1939224684724346,0,0,1
45,0,34,254,2008.0,18,120213.0,1.5040773967762742,0,0,1
46,0,29,775,2017.0,22,32000.0,4.092676505121403,0,1,0
47,2,29,1046,2019.0,22,4000.0,3.1354942159291497,0,1,0
48,0,34,253,2004.0,18,180983.2039800995,1.33500106673234,0,1,0
49,2,29,480,2011.0,18,99631.70047169812,2.0149030205422647,0,1,0
50,2,53,1014,2013.0,9,87886.068,2.224623551524334,0,1,0
51,2,34,840,2010.0,8,111522.88737864078,2.0541237336955462,0,1,0
52,2,37,879,2010.0,21,139938.0,1.1249295969854831,0,1,0
53,2,14,513,2005.0,18,163801.0,0.9001613499442714,0,0,1
54,2,53,316,2008.0,18,87886.068,1.5260563034950492,0,1,0
55,0,53,666,2010.0,22,65349.0,2.060513531794317,0,1,0
56,2,53,316,2009.0,9,86524.0,1.55814461804655,0,1,0
57,0,34,844,2013.0,2,87886.068,2.3978952727983707,0,1,0
58,0,29,480,2010.0,2,75214.0,2.0149030205422647,0,0,1
59,0,29,1033,2004.0,3,65242.0,1.7047480922384253,0,0,1
60,2,37,890,2003.0,4,184886.90740740742,1.3376291891386096,0,0,1
61,0,29,723,2008.0,18,120987.17749603803,1.7047480922384253,0,1,0
62,0,53,1178,2004.0,8,121300.0,1.0296194171811581,0,1,0
63,0,29,772,2018.0,2,20000.0,4.22683374526818,0,1,0
64,2,29,480,2009.0,8,36521.0,1.7047480922384253,0,1,0
65,0,53,657,2003.0,9,184886.90740740742,1.1631508098056809,0,0,1
66,1,53,316,2007.0,9,139643.87962962964,1.4586150226995167,0,1,0
67,0,17,120,2013.0,17,87886.068,1.6486586255873816,0,0,1
68,1,53,316,2010.0,8,111522.88737864078,1.6094379124341003,0,1,0
69,0,34,246,2005.0,8,100000.0,1.252762968495368,0,1,0
70,0,53,32,2000.0,9,168309.02702702704,0.9162907318741551,0,0,1
71,0,19,496,2007.0,9,86068.07414151581,0.9895411936137477,0,0,1
72,2,34,591,2010.0,18,156155.0,2.0451088625993306,0,1,0
73,2,29,1038,2011.0,9,121131.0,2.3513752571634776,0,1,0
74,2,29,628,2007.0,2,87451.0,1.8718021769015913,0,1,0
75,2,29,480,2008.0,17,129630.0,1.7047480922384253,0,1,0
76,2,29,1042,2008.0,9,78669.0,1.9139771019523042,0,1,0
77,2,29,483,2013.0,18,58869.0,2.3702437414678603,0,1,0
78,0,14,491,2008.0,18,87322.0,1.5686159179138452,0,1,0
79,2,14,523,2012.0,2,87886.068,2.244955980157409,0,1,0
80,2,0,863,2009.0,3,56655.0,2.1400661634962708,0,1,0
81,2,53,42,2005.0,18,87886.068,1.6956156086751528,0,1,0
82,2,53,39,2019.0,2,5000.0,3.4011973816621555,0,1,0
83,2,11,976,2014.0,2,69000.0,2.505525936990736,0,0,1
84,1,53,406,2010.0,9,86000.0,1.1151415906193203,0,0,1
85,2,29,1058,2018.0,8,5626.0,3.1135153092103742,0,1,0
86,2,17,947,2007.0,2,87886.068,1.5238800240724537,0,1,0
87,2,29,1041,2007.0,4,139643.87962962964,1.8562979903656263,0,1,0
88,0,53,657,2013.0,22,129939.0,2.458733775483977,0,0,1
89,0,34,251,2016.0,4,59739.19502074689,2.5572273113676265,0,1,0
90,2,29,1046,2012.0,3,65828.0,2.128231705849268,0,1,0
91,2,53,668,2013.0,22,100000.0,2.2700619012884857,0,1,0
92,2,53,316,2009.0,18,75324.0,1.4350845252893227,0,1,0
93,2,53,185,2013.0,17,95124.0,2.2512917986064953,0,1,0
94,1,53,316,2002.0,18,79321.0,0.7884573603642703,0,0,1
95,0,29,621,2004.0,2,87886.068,2.1174596088673567,0,0,1
96,2,53,53,2004.0,9,180983.2039800995,1.599387576580599,0,1,0
97,2,53,660,2008.0,10,69769.0,1.9459101490553132,0,1,0
98,2,29,1038,2011.0,3,30457.0,2.468099531471619,0,1,0
99,0,29,763,2008.0,22,120606.0,1.5040773967762742,0,0,1
100,2,29,768,2018.0,2,44090.12037037037,3.970291913552122,1,0,0
101,1,17,278,2004.0,17,87886.068,1.247032293786383,0,1,0
102,0,53,1240,2017.0,2,50333.97142857143,2.865053949911875,0,1,0
103,0,34,1115,2016.0,2,47000.0,3.828641396489095,0,1,0
104,0,53,432,2007.0,2,139643.87962962964,1.2237754316221157,0,0,1
105,2,53,995,2007.0,2,139643.87962962964,1.589235205116581,0,1,0
106,2,29,480,2008.0,9,176353.0,1.62924053973028,0,1,0
107,0,34,572,2021.0,22,7653.89,5.278114659230517,1,0,0
108,0,53,809,2018.0,2,44090.12037037037,3.332204510175204,0,1,0
109,0,53,1004,2020.0,10,854.0,3.332204510175204,1,0,0
110,0,53,316,2011.0,3,99631.70047169812,1.6770965609079151,0,1,0
111,1,53,406,2005.0,18,160932.0,0.9895411936137477,0,0,1
112,0,28,1060,2009.0,10,115596.78333333334,1.5040773967762742,0,0,1
113,1,29,1047,2008.0,18,135000.0,1.8870696490323797,0,1,0
114,1,53,316,2008.0,2,86052.90470274864,1.5151272329628591,0,1,0
115,0,30,902,2013.0,18,56000.0,2.388762789235098,0,1,0
116,1,53,432,2007.0,18,130000.0,1.423108334242607,0,1,0
117,2,29,1038,2011.0,18,65000.0,2.272125885509337,0,1,0
118,2,53,325,2008.0,17,91738.0,1.4816045409242156,0,1,0
119,2,0,863,2008.0,22,75000.0,1.599387576580599,0,1,0
120,2,53,1314,2010.0,22,111522.88737864078,2.186051276738094,0,1,0
121,2,34,581,2010.0,2,111522.88737864078,2.1972245773362196,0,1,0
122,2,29,1028,2003.0,18,65000.0,1.5040773967762742,0,1,0
123,2,29,296,2016.0,9,87886.068,2.4159137783010487,0,1,0
124,2,53,316,2009.0,9,75840.0,1.589235205116581,0,1,0
125,2,29,1038,2011.0,18,65802.0,2.4423470353692043,0,1,0
126,2,29,480,2012.0,22,101664.2219387755,2.0149030205422647,0,1,0
127,2,53,406,2011.0,18,65470.0,1.6845453849209058,0,1,0
128,1,53,432,2007.0,3,189632.0,1.0647107369924282,0,0,1
129,0,39,77,2004.0,23,180983.2039800995,0.8754687373538999,0,0,1
130,2,53,1315,2013.0,9,88123.0,2.3513752571634776,0,1,0
131,2,0,858,2012.0,2,101664.2219387755,1.9459101490553132,0,1,0
132,2,53,1315,2013.0,22,75365.0,2.5649493574615367,0,1,0
133,0,17,291,2020.0,9,15767.532258064517,2.7013612129514133,0,1,0
134,1,53,316,2012.0,22,98000.0,1.7404661748405046,0,1,0
135,1,29,1038,2010.0,9,111522.88737864078,2.312535423847214,0,1,0
136,2,53,666,2009.0,10,80000.0,2.157559320943788,0,1,0
137,2,17,162,2010.0,2,149189.0,1.1786549963416462,0,0,1
138,2,53,316,2013.0,22,62745.0,1.9740810260220096,0,1,0
139,0,34,1127,2016.0,2,43000.0,3.713572066704308,0,1,0
140,2,34,581,2007.0,2,139643.87962962964,1.7047480922384253,0,1,0
141,0,53,406,2004.0,22,180983.2039800995,1.1939224684724346,0,0,1
142,0,39,4,2005.0,3,156069.08239700375,0.9669838461896731,0,0,1
143,2,29,624,2018.0,22,30121.0,3.332204510175204,0,1,0
144,0,53,657,2015.0,2,66000.63322884013,2.6026896854443837,0,1,0
145,2,53,321,2008.0,18,94580.0,1.4350845252893227,0,1,0
146,0,53,427,2005.0,2,156069.08239700375,1.0986122886681098,0,0,1
147,2,29,1038,2010.0,2,95486.0,2.458733775483977,0,1,0
148,0,53,406,2016.0,9,35000.0,2.0412203288596382,0,1,0
149,0,53,316,2008.0,18,128881.0,1.1631508098056809,0,0,1
150,0,53,316,2010.0,2,121362.0,1.2237754316221157,0,0,1
151,2,53,316,2009.0,9,115596.78333333334,1.4816045409242156,0,1,0
152,0,17,913,2009.0,9,136130.0,1.4770487243883548,0,1,0
153,1,14,523,2013.0,3,88734.0,2.3570732782781154,0,0,1
154,2,19,1202,2009.0,2,164003.0,1.0296194171811581,0,1,0
155,0,29,772,2021.0,2,7653.89,4.483002552013883,1,0,0
156,2,29,472,2015.0,2,66000.63322884013,2.379546134130174,0,1,0
157,2,34,465,2008.0,18,120987.17749603803,1.6582280766035324,0,1,0
158,0,53,683,2009.0,8,68000.0,1.840549633397487,0,0,1
159,2,29,480,2008.0,17,76345.0,1.8325814637483102,0,1,0
160,0,3,1347,2008.0,8,120987.17749603803,1.8718021769015913,0,1,0
161,0,53,198,2011.0,9,68000.0,2.0412203288596382,0,1,0
162,2,53,1287,2016.0,22,23000.0,3.1780538303479458,0,1,0
163,0,19,717,2015.0,9,66000.63322884013,1.308332819650179,0,0,1
164,2,29,727,2008.0,3,112068.0,1.3376291891386096,0,0,1
165,2,29,624,2020.0,22,6000.0,3.597312260588446,0,1,0
166,2,29,768,2019.0,9,23881.0,4.07753744390572,0,1,0
167,2,34,463,2021.0,2,42.0,4.212127597878484,1,0,0
168,0,34,465,2013.0,9,45264.0,2.6026896854443837,0,1,0
169,2,29,1028,2012.0,8,64000.0,2.468099531471619,0,1,0
170,0,53,316,2015.0,2,86280.0,1.8180767775454285,0,1,0
171,0,29,629,2005.0,18,99000.0,1.9459101490553132,0,1,0
172,2,53,1157,2004.0,10,96523.0,1.5216989981260935,0,1,0
173,2,53,1392,2014.0,2,87886.068,1.7047480922384253,0,0,1
174,2,29,1028,2002.0,2,168652.54666666666,1.4586150226995167,0,1,0
175,0,29,480,2008.0,9,52588.0,1.5040773967762742,0,0,1
176,0,53,325,2008.0,18,120987.17749603803,1.1631508098056809,0,0,1
177,2,14,491,2011.0,2,182031.0,1.2781522025001875,0,0,1
178,0,29,897,2017.0,22,41576.0,2.8903717578961645,0,1,0
179,2,53,339,2018.0,18,35688.0,2.740840023925201,0,1,0
180,0,34,267,2015.0,18,68000.0,2.1400661634962708,0,0,1
181,0,53,801,2014.0,2,95945.0,2.851284369188118,0,0,1
182,0,53,185,2019.0,2,25.0,3.4965075614664802,1,0,0
183,2,8,1295,2008.0,9,75538.0,0.7654678421395714,0,1,0
184,0,53,977,2015.0,2,63738.0,2.3513752571634776,0,1,0
185,2,53,316,2007.0,10,114034.0,1.5686159179138452,0,1,0
186,0,53,316,2014.0,22,77686.18630136986,1.8082887711792655,0,1,0
187,0,53,316,2013.0,18,156764.0,1.8718021769015913,0,1,0
188,0,53,191,2007.0,18,100000.0,1.4350845252893227,0,1,0
189,2,29,480,2007.0,2,65555.0,1.4469189829363254,0,0,1
190,2,29,480,2008.0,9,88000.0,1.6956156086751528,0,1,0
191,0,53,316,2018.0,9,61796.0,2.653241964607215,0,1,0
192,0,53,316,2008.0,18,120987.17749603803,1.1939224684724346,0,0,1
193,0,17,388,2012.0,2,45212.0,1.4816045409242156,0,1,0
194,2,29,1042,2013.0,9,75000.0,2.5494451709255714,0,1,0
195,2,29,480,2010.0,2,111522.88737864078,1.9810014688665833,0,1,0
196,2,53,316,2012.0,17,101664.2219387755,1.916922612182061,0,1,0
197,2,53,1291,2011.0,2,98000.0,2.3978952727983707,0,1,0
198,2,29,613,2006.0,22,86037.33053812743,1.423108334242607,0,1,0
199,2,53,683,2006.0,18,146108.96941896025,1.667706820558076,0,1,0
200,1,53,207,2005.0,8,167700.0,1.3480731482996928,0,1,0
201,2,29,1038,2008.0,3,140444.0,1.8718021769015913,0,1,0
202,2,17,148,2012.0,4,39002.0,1.597365331199831,0,0,1
203,2,34,844,2012.0,9,101664.2219387755,2.5494451709255714,0,1,0
204,0,53,696,2020.0,22,13175.0,3.258096538021482,0,1,0
205,2,29,1028,2013.0,22,87886.068,2.302585092994046,0,1,0
206,2,34,844,2007.0,8,98565.0,1.7749523509116738,0,1,0
207,2,53,1307,2010.0,3,111522.88737864078,2.1400661634962708,0,1,0
208,0,53,560,2020.0,22,1000.0,3.367295829986474,1,0,0
209,2,53,1287,2016.0,13,59739.19502074689,3.2771447329921766,0,1,0
210,1,14,491,2010.0,9,111522.88737864078,1.4350845252893227,0,0,1
211,1,34,251,2015.0,2,113731.0,2.6741486494265287,0,1,0
212,2,25,360,2013.0,2,86019.96845278215,0.9895411936137477,0,0,1
213,0,1,1132,2019.0,2,23142.0,3.784189633918261,0,1,0
214,2,53,46,2010.0,2,87159.0,2.5649493574615367,0,1,0
215,0,53,406,2010.0,10,111522.88737864078,1.3217558399823195,0,0,1
216,2,29,629,2005.0,9,86495.0,2.0082140323914683,0,1,0
217,2,29,1039,2020.0,9,15767.532258064517,3.4965075614664802,0,1,0
218,0,14,524,2002.0,9,87886.068,0.6981347220709843,0,0,1
219,0,53,346,2020.0,2,2000.0,3.0349529867072724,1,0,0
220,2,29,723,2006.0,8,146108.96941896025,1.5686159179138452,0,1,0
221,0,53,316,2013.0,2,87886.068,1.7404661748405046,0,1,0
222,1,53,406,2008.0,18,91701.0,1.1085626195212777,0,0,1
223,0,17,278,2013.0,3,51000.0,2.1400661634962708,0,1,0
224,2,34,581,2009.0,2,130000.0,2.0794415416798357,0,1,0
225,0,34,256,2015.0,2,67123.0,2.803360380906535,0,0,1
226,2,29,730,2012.0,18,63000.0,1.8946168546677629,0,1,0
227,1,29,480,2011.0,9,78000.0,1.9878743481543455,0,1,0
228,0,25,557,2010.0,2,40675.0,1.3862943611198906,0,1,0
229,2,17,120,2009.0,2,148264.0,1.1786549963416462,0,0,1
230,0,23,537,2018.0,2,44090.12037037037,3.258096538021482,0,1,0
231,0,53,1163,2006.0,9,163287.0,1.572773928062509,0,1,0
232,2,0,858,2011.0,22,55396.0,1.9878743481543455,0,1,0
233,2,29,480,2008.0,17,87000.0,1.7404661748405046,0,1,0
234,2,34,590,2018.0,2,44090.12037037037,3.8066624897703196,0,1,0
235,0,53,406,2013.0,17,69000.0,1.308332819650179,0,0,1
236,2,53,672,2005.0,3,52814.0,1.7316555451583497,0,1,0
237,1,37,933,2006.0,2,146108.96941896025,1.3609765531356006,0,1,0
238,0,3,1346,2013.0,17,114427.0,1.8562979903656263,0,0,1
239,2,29,472,2007.0,2,23568.0,1.4701758451005926,0,1,0
240,0,53,1240,2017.0,18,40000.0,3.2188758248682006,0,1,0
241,2,29,629,2007.0,18,82000.0,2.028148247292285,0,1,0
242,0,53,657,2016.0,4,83151.0,2.70805020110221,0,1,0
243,2,0,1024,2017.0,22,60000.0,2.70805020110221,0,1,0
244,2,29,480,2010.0,9,75000.0,1.916922612182061,0,1,0
245,2,53,316,2011.0,2,87500.0,1.8562979903656263,0,1,0
246,0,34,465,2010.0,2,111522.88737864078,1.8718021769015913,0,0,1
247,2,29,629,2007.0,18,63852.0,2.0541237336955462,0,1,0
248,1,53,211,2005.0,10,112000.0,1.1314021114911006,0,1,0
249,2,29,1036,2006.0,22,146108.96941896025,1.7833912195575383,0,1,0
250,0,53,316,2010.0,18,111522.88737864078,1.667706820558076,0,1,0
251,0,3,1369,2019.0,2,2540.0,4.795790545596741,0,1,0
252,2,29,1038,2010.0,9,93368.0,2.2823823856765264,0,1,0
253,2,14,494,2007.0,2,87886.068,1.3962446919730587,0,1,0
254,1,37,929,2002.0,2,87886.068,0.6981347220709843,0,0,1
255,0,53,1314,2010.0,9,123769.0,1.9315214116032138,0,0,1
256,0,34,463,2017.0,2,50333.97142857143,2.8622008809294686,0,0,1
257,0,53,798,2020.0,2,15767.532258064517,3.9219733362813143,1,0,0
258,2,53,686,2005.0,22,156069.08239700375,1.5686159179138452,0,1,0
259,0,53,406,2009.0,10,84645.0,1.5789787049493917,0,1,0
260,2,53,316,2019.0,17,6575.0,2.3749057545736716,0,1,0
261,1,25,914,2014.0,18,77686.18630136986,1.547562508716013,0,1,0
262,2,25,1093,2013.0,18,81106.0,0.9745596399981308,0,0,1
263,2,29,621,2008.0,8,120987.17749603803,2.2669579153508947,0,1,0
264,2,53,316,2005.0,10,87886.068,1.3376291891386096,0,1,0
265,0,53,1002,2008.0,22,120987.17749603803,1.252762968495368,0,0,1
266,2,34,249,2014.0,2,77686.18630136986,2.1972245773362196,0,1,0
267,0,53,316,2011.0,17,90000.0,1.599387576580599,0,1,0
268,1,53,416,2006.0,3,147635.0,0.7561219797213337,0,0,1
269,0,14,513,2009.0,2,65000.0,1.1939224684724346,0,0,1
270,0,19,718,2012.0,2,130521.0,0.9555114450274363,0,0,1
271,0,21,745,2013.0,17,75000.0,1.7047480922384253,0,0,1
272,2,29,624,2016.0,22,65000.0,3.332204510175204,0,1,0
273,0,34,469,2021.0,2,7653.89,4.350277936359301,1,0,0
274,2,34,593,2013.0,9,62408.0,2.5257286443082556,0,1,0
275,2,29,1038,2010.0,9,74690.0,2.3513752571634776,0,1,0
276,0,17,120,2008.0,22,120987.17749603803,1.6486586255873816,0,1,0
277,1,53,683,2008.0,9,85000.0,1.9021075263969205,0,1,0
278,1,53,406,2011.0,18,79000.0,1.667706820558076,0,1,0
279,0,41,355,2013.0,2,91651.0,3.044522437723423,0,1,0
280,1,53,316,2008.0,2,87886.068,1.2237754316221157,0,0,1
281,0,53,685,2005.0,17,156069.08239700375,1.1939224684724346,0,0,1
282,0,34,591,2012.0,3,42153.0,2.163323025660538,0,0,1
283,2,29,1033,2005.0,3,125808.0,1.824549292051046,0,1,0
284,0,34,598,2019.0,22,18452.0,3.8918202981106265,0,1,0
285,0,53,349,2018.0,22,56000.0,2.917770732084279,0,1,0
286,2,34,1337,2020.0,2,5423.0,4.31748811353631,0,1,0
287,2,29,727,2008.0,2,87000.0,1.62924053973028,0,1,0
288,0,53,406,2015.0,18,67733.0,1.667706820558076,0,0,1
289,2,29,480,2008.0,8,120987.17749603803,1.7578579175523736,0,1,0
290,2,29,1038,2010.0,9,99675.0,2.2874714551839976,0,1,0
291,0,29,723,2006.0,15,113231.0,1.1249295969854831,0,1,0
292,2,34,844,2012.0,9,153000.0,2.5649493574615367,0,1,0
293,0,53,316,2002.0,4,136214.0,1.33500106673234,0,1,0
294,0,19,1202,2013.0,9,101000.0,1.3737155789130306,0,0,1
295,2,53,316,2007.0,22,84508.0,1.5686159179138452,0,1,0
296,2,34,593,2010.0,10,86038.0,2.1162555148025524,0,1,0
297,2,53,1157,2010.0,9,68529.0,2.4595888418037104,0,1,0
298,0,39,16,2020.0,9,38454.0,3.091042453358316,0,1,0
299,0,34,256,2015.0,22,66000.63322884013,2.70805020110221,0,0,1
300,2,29,727,2010.0,22,79000.0,1.7227665977411035,0,1,0
301,0,53,316,2010.0,9,87071.0,1.5040773967762742,0,1,0
302,2,29,774,2016.0,2,59739.19502074689,3.9889840465642745,0,1,0
303,0,14,1084,2017.0,2,41358.0,2.3978952727983707,0,1,0
304,2,29,483,2013.0,2,98523.0,2.2669579153508947,0,1,0
305,0,53,316,2016.0,18,65923.0,2.0149030205422647,0,1,0
306,0,34,844,2008.0,2,120987.17749603803,1.5260563034950492,0,0,1
307,2,13,565,2004.0,2,87886.068,0.9631743177730056,0,1,0
308,2,53,657,2018.0,18,44090.12037037037,3.068052935133617,0,1,0
309,0,34,470,2010.0,2,111522.88737864078,2.3978952727983707,0,1,0
310,0,28,1060,2012.0,22,101664.2219387755,2.3978952727983707,0,0,1
311,2,53,657,2015.0,22,81000.0,2.740840023925201,0,1,0
312,0,34,586,2016.0,2,55000.0,2.3978952727983707,0,0,1
313,0,53,339,2018.0,18,27627.0,2.6026896854443837,0,1,0
314,2,29,1028,2019.0,22,23881.0,3.1986731175506815,0,1,0
315,1,53,406,2011.0,9,128365.0,1.6486586255873816,0,1,0
316,2,29,1044,2016.0,2,59739.19502074689,3.1570004211501135,0,1,0
317,0,29,728,2015.0,18,52609.0,2.4423470353692043,0,1,0
318,0,53,406,2004.0,3,65000.0,0.9745596399981308,0,0,1
319,2,29,1038,2010.0,2,87886.068,2.2823823856765264,0,1,0
320,2,29,729,2007.0,2,85085.0,1.6486586255873816,0,1,0
321,2,29,1042,2009.0,18,115596.78333333334,2.0149030205422647,0,1,0
322,2,29,772,2021.0,22,7653.89,4.812184355372417,0,1,0
323,0,29,1028,2008.0,9,155000.0,1.4929040961781488,0,0,1
324,0,32,634,2014.0,4,27000.0,3.417726683613366,0,1,0
325,2,53,1287,2005.0,18,156069.08239700375,1.9810014688665833,0,1,0
326,0,53,406,2015.0,9,66000.63322884013,2.0731719286662407,0,1,0
327,0,14,528,2009.0,22,63000.0,2.2300144001592104,0,1,0
328,2,11,363,2014.0,18,77686.18630136986,2.2512917986064953,0,1,0
329,0,53,406,2010.0,17,157235.0,1.4469189829363254,0,0,1
330,2,29,480,2010.0,22,75000.0,1.9530276168241774,0,1,0
331,0,53,430,2005.0,18,156069.08239700375,1.3480731482996928,0,1,0
332,0,28,1061,2015.0,22,66000.63322884013,2.740840023925201,0,1,0
333,0,34,581,2013.0,2,87886.068,2.4423470353692043,0,1,0
334,2,29,1042,2008.0,18,113052.0,1.9286186519452522,0,1,0
335,2,32,829,2017.0,22,25791.0,3.6635616461296463,0,1,0
336,0,54,923,2012.0,2,88000.0,1.2947271675944,0,0,1
337,2,53,316,2007.0,2,153000.0,1.4929040961781488,0,1,0
338,2,29,623,2018.0,22,4674.0,3.3843902633457743,0,1,0
339,0,17,120,2017.0,9,50333.97142857143,1.9242486522741338,0,0,1
340,0,34,465,2016.0,9,59739.19502074689,2.653241964607215,0,1,0
341,0,3,83,2015.0,2,66000.63322884013,2.2512917986064953,0,0,1
342,2,0,858,2008.0,9,120987.17749603803,1.589235205116581,0,1,0
343,2,34,590,2018.0,2,44090.12037037037,3.7773481021015445,0,1,0
344,1,53,683,2010.0,18,68000.0,2.0149030205422647,0,1,0
345,2,28,1059,2006.0,2,192232.0,1.4747630091074988,0,1,0
346,0,53,394,2012.0,22,132410.0,2.0541237336955462,0,0,1
347,1,29,474,2000.0,8,99000.0,0.9555114450274363,0,1,0
348,2,29,623,2014.0,9,75464.0,2.9444389791664403,0,1,0
349,0,53,316,2017.0,9,46250.0,2.186051276738094,0,1,0
350,2,19,496,2011.0,3,99631.70047169812,1.33500106673234,0,0,1
351,2,53,316,2010.0,3,89464.0,1.4770487243883548,0,1,0
352,2,29,480,2008.0,17,123000.0,1.667706820558076,0,1,0
353,0,34,586,2017.0,2,50333.97142857143,2.970414465569701,0,1,0
354,2,29,624,2015.0,2,66000.63322884013,2.803360380906535,0,1,0
355,1,34,251,2008.0,9,85000.0,1.7047480922384253,0,1,0
356,0,29,775,2014.0,2,45000.0,3.044522437723423,0,0,1
357,2,29,480,2008.0,9,120987.17749603803,1.6770965609079151,0,1,0
358,0,17,147,2012.0,10,65288.0,1.5040773967762742,0,0,1
359,0,53,1240,2008.0,2,120987.17749603803,1.791759469228055,0,0,1
360,2,53,1313,2010.0,18,69845.0,2.0541237336955462,0,1,0
361,0,29,723,2014.0,2,45216.0,2.4423470353692043,0,1,0
362,2,17,947,2012.0,2,28980.0,2.1174596088673567,0,0,1
363,2,53,1163,2005.0,9,120624.0,1.5260563034950492,0,1,0
364,2,29,622,2011.0,9,99631.70047169812,2.7212954278522306,0,1,0
365,2,28,1069,2015.0,17,66000.63322884013,3.204776900488699,0,1,0
366,2,29,626,2013.0,8,87886.068,2.917770732084279,0,1,0
367,0,53,782,2013.0,2,71000.0,3.295836866004329,0,0,1
368,0,34,254,2008.0,2,120066.0,1.5686159179138452,0,0,1
369,1,29,610,2007.0,5,88000.0,1.4350845252893227,0,1,0
370,0,0,858,2014.0,18,77686.18630136986,2.5649493574615367,0,1,0
371,0,53,316,2016.0,10,63339.0,2.2181159363675955,0,1,0
372,1,37,563,2000.0,10,123457.0,1.0818051703517284,0,0,1
373,2,53,316,2007.0,18,87886.068,1.1249295969854831,0,0,1
374,2,29,621,2007.0,18,124000.0,1.3480731482996928,0,0,1
375,2,29,623,2016.0,9,59739.19502074689,3.2108436531709366,0,1,0
376,0,34,267,2015.0,2,66000.63322884013,2.1972245773362196,0,0,1
377,0,34,593,2014.0,9,80000.0,2.4849066497880004,0,1,0
378,0,34,465,2015.0,2,112342.0,1.840549633397487,0,0,1
379,0,17,120,2016.0,9,59739.19502074689,2.060513531794317,0,0,1
380,0,29,622,2010.0,18,92000.0,2.2512917986064953,0,1,0
381,2,34,251,2015.0,2,56041.0,2.6026896854443837,0,1,0
382,2,29,626,2013.0,9,83000.0,2.8154087194227095,0,1,0
383,2,19,1202,2013.0,3,93650.0,1.3376291891386096,0,0,1
384,1,53,316,2007.0,3,138311.0,1.3376291891386096,0,0,1
385,0,53,977,2010.0,17,68568.0,1.9459101490553132,0,1,0
386,2,34,844,2013.0,4,86945.0,2.6741486494265287,0,1,0
